,Demand [MWh/capita/year],intraday,overnight,monthly,seasonal,longterm
0,5.0,0.0,0.0,0.0,0.0,0.0
1,6.0,0.0,0.0,0.0,0.0,0.0
2,7.0,0.0,0.0,0.0,0.0,0.0
3,8.0,0.0,0.0,0.0,0.0,0.0
4,9.0,45919.15939326192,96827.56752291413,95114.15019288314,47189.0914739466,24100.0314169942
5,10.0,53178.143295382826,116335.41791577592,112314.34759595286,54733.82834163961,36843.262851248815
6,11.0,54920.08376573134,136353.5095852249,125541.30974147897,66841.56559994226,54001.53130762259
7,12.0,66840.8080813011,161945.9668954257,143664.29804108987,68610.06803522055,60854.85894696292
8,13.0,78039.66147294061,209967.0764310228,210817.233476389,179782.25985041936,115633.76876922819
9,14.0,97621.28602770694,292254.9370865565,262390.3388406625,356004.31109850004,197915.1269465742
10,15.0,112298.53983313857,270214.4656636884,349878.8643659998,516834.2067784534,382394.9233587197
11,16.0,110987.13974993351,359700.23801384267,377468.55767707666,838412.1983895509,370349.8661695961
12,17.0,137305.16745218443,377411.8587046285,336510.90431474196,1028580.5871220587,576184.4824063866
13,18.0,135830.52960707273,359699.7243120009,572376.4728643043,1178472.5472877305,773601.7259288908
14,19.0,149509.2417468729,474356.25812687015,881274.4064617414,1523157.2160904189,545937.8775740971
15,20.0,160906.1400517238,480003.3328761317,480149.47580194374,1896088.3124043243,1109192.738865876
16,21.0,171617.07900970115,511585.0636573134,886979.6710060429,2404096.1108375364,722478.0754894046
17,22.0,181352.635233743,541467.4904459062,915946.389030999,2801889.691152353,829298.7941369987
18,23.0,213945.03646137673,553075.0918593673,992799.2355445268,3500811.49466143,567955.1414733003
19,24.0,237873.48978505045,560680.0646316407,829785.9812107917,3806418.813814533,878735.6505579846
20,25.0,244864.2691011726,618258.4844126292,646281.5137017262,3699201.8891436066,1697289.8436408648
21,,231683.352435443,693114.7959498677,885720.1778462644,3828655.8947609663,1810691.77900746
22,,293658.5327954564,638525.0889036241,886118.3922531346,4078681.8429359766,1995636.14311181
23,,243135.68751534485,742662.5704747007,980344.9384791596,4392325.903469885,1978917.9000609117
24,,277087.8447281703,790458.2006429542,1205351.5070058242,2840677.400597297,3668522.047025753
